"trade_date","open","high","low","close","vol"
"20160705","295.03","303.1","295.03","300.58","41707.73"
"20160704","287","295.4","286","293.9","29488.64"
"20160701","287.2","291.88","284","286.17","26014.95"
"20160630","290.02","298.2","290.02","291.92","38022.4"
"20160629","287.55","289.45","284.2","288.18","28147.6"
"20160628","287.02","289.66","286.32","288.21","24282.23"
"20160627","275","292.3","275","287.68","63642.69"
"20160624","275.28","277","267.2","273.77","20129.51"
"20160623","279.97","279.97","274.88","276.44","13984.51"
"20160622","273.77","279.36","272.77","278.44","20884.48"
"20160621","277.04","277.94","273","273.81","16749.33"
"20160620","279.77","279.86","274","276.11","19019.26"
"20160617","273.6","282.49","273.6","278.26","24705.18"
"20160616","274.86","277.8","273.78","274.02","19643.57"
"20160615","270.71","277.8","270.21","276.49","27322.01"
"20160614","267.71","273.8","267.71","272.75","25587.29"
"20160613","273.35","276.66","266.25","267.06","37775.06"
"20160608","276.4","277.86","273.5","274.28","23882.09"
"20160607","276.5","278.49","275.01","277.85","18753.53"
"20160606","282","283","275","276.05","37261.66"
"20160603","267","286.74","266.4","283.89","64798.13"
"20160602","263.01","268.68","263.01","267.74","24760.76"
"20160601","265.4","265.5","263","263.79","21876.69"
"20160531","256","266.62","255.2","264.47","53949.65"
"20160530","251.5","256.5","250","256.13","29806.92"
"20160527","252.72","254.69","251.38","252.44","13230.44"
"20160526","251.99","253.8","249.2","252.71","18120.26"
"20160525","254.48","254.94","251.01","251.86","17785.34"
"20160524","254.41","255.21","250.1","251.94","11674.4"
"20160523","249.72","254.99","249.72","254.2","18706.18"
"20160520","246.84","252.18","244.32","251.26","25501.57"
"20160519","245.16","248.5","244.5","245.77","20889.43"
"20160518","249.08","251.85","243.1","244.44","28380.34"
"20160517","251.01","252.4","249.83","250.03","11785.69"
"20160516","250.86","251.8","247.3","251.63","22202.73"
"20160513","255.98","258.9","250.5","250.96","28145.61"
"20160512","254.02","256.56","252","255.96","18894.11"
"20160511","252.35","260.48","252.35","256.87","49277.13"
"20160510","249.5","254","249.11","252.08","33505.89"
"20160509","250.13","252.8","249.01","250.82","27799.18"
"20160506","257.31","258.52","251.12","252.22","27173.69"
"20160505","256.5","258.15","255.5","257.77","13517.89"
"20160504","260","262.39","255.99","256.21","28636.26"
"20160503","250.55","262.28","250.55","260","56474.86"
"20160429","247.39","252.43","247.39","251.2","46079.49"
"20160428","245.83","246.74","244","246.44","17156.55"
"20160427","244.5","245.48","243.49","244.88","13915.1"
"20160426","244.95","246.88","243","243.86","15156.68"
"20160425","247.12","248.1","243.3","244.52","24990.28"
"20160422","241","247.88","240.37","247.4","35459.38"
"20160421","240.5","242.3","238.3","240.37","29672.22"
"20160420","243.19","244.4","235.8","238.44","33708.5"
"20160419","244.59","245.19","241.45","243.18","14236.68"
"20160418","242.8","246","242.5","243.68","18593.04"
"20160415","242.64","244.98","241.2","244.9","19029.26"
"20160414","242.38","244.83","241","242.76","28664.37"
"20160413","245.4","248.63","241.7","242.24","54274.25"
"20160412","243.7","245","242.1","244.92","23339.09"
